index,City,Date,CardType,ExpType,Gender,Amount,CumulativeSpends
11820,"Bengaluru, India","2013-10-09 00:00:00",Gold,Food,F,216547,11757769
9722,"Bengaluru, India","2013-10-09 00:00:00",Gold,Food,F,190157,11757769
9648,"Delhi, India","2013-10-09 00:00:00",Gold,Food,M,285214,11757769
16882,"Rewa, India","2013-10-09 00:00:00",Gold,Grocery,F,189221,11757769
20853,"Jaipur, India","2013-10-09 00:00:00",Gold,Grocery,F,48891,11757769
2048,"Ahmedabad, India","2013-10-09 00:00:00",Gold,Fuel,M,112553,11757769
24683,"Kolkata, India","2013-10-09 00:00:00",Gold,Entertainment,F,201943,11757769
23136,"Surat, India","2013-10-09 00:00:00",Gold,Bills,F,24746,11757769
4505,"Delhi, India","2013-10-09 00:00:00",Gold,Fuel,F,299642,11757769
5443,"Delhi, India","2013-10-09 00:00:00",Gold,Food,F,295917,11757769
3497,"Greater Mumbai, India","2013-10-09 00:00:00",Gold,Fuel,M,209565,11757769
14188,"Pratapgarh, India","2013-10-09 00:00:00",Gold,Entertainment,F,83858,11757769
7450,"Greater Mumbai, India","2013-10-09 00:00:00",Gold,Bills,M,226017,11757769
21899,"Chennai, India","2013-10-10 00:00:00",Gold,Food,F,226400,12501717
18314,"Rawatsar, India","2013-10-10 00:00:00",Gold,Fuel,F,85841,12501717
18983,"Kothagudem, India","2013-10-10 00:00:00",Gold,Bills,M,163997,12501717
15590,"Utraula, India","2013-10-10 00:00:00",Gold,Bills,M,13914,12501717
13879,"Greater Mumbai, India","2013-10-10 00:00:00",Gold,Bills,F,253796,12501717
15129,"Nehtaur, India","2013-10-11 00:00:00",Gold,Entertainment,F,106642,16279751
16033,"Malegaon, India","2013-10-11 00:00:00",Gold,Fuel,F,154758,16279751
14283,"Nahan, India","2013-10-11 00:00:00",Gold,Food,M,248730,16279751
15724,"Surat, India","2013-10-11 00:00:00",Gold,Bills,M,24993,16279751
20052,"Pune, India","2013-10-11 00:00:00",Gold,Food,M,192824,16279751
20461,"Surat, India","2013-10-11 00:00:00",Gold,Fuel,F,181899,16279751
11555,"Bengaluru, India","2013-10-11 00:00:00",Gold,Fuel,F,162498,16279751
13525,"Greater Mumbai, India","2013-10-11 00:00:00",Gold,Grocery,M,142725,16279751
12412,"Delhi, India","2013-10-11 00:00:00",Gold,Entertainment,M,108085,16279751
7521,"Greater Mumbai, India","2013-10-11 00:00:00",Gold,Fuel,M,69877,16279751
7327,"Greater Mumbai, India","2013-10-11 00:00:00",Gold,Fuel,M,212080,16279751
7400,"Bengaluru, India","2013-10-11 00:00:00",Gold,Entertainment,M,20417,16279751
268,"Delhi, India","2013-10-11 00:00:00",Gold,Bills,F,393651,16279751
23,"Ahmedabad, India","2013-10-11 00:00:00",Gold,Bills,F,668568,16279751
18360,"Maihar, India","2013-10-11 00:00:00",Gold,Grocery,F,137766,16279751
18740,"Palghar, India","2013-10-11 00:00:00",Gold,Food,M,269335,16279751
23836,"Kolkata, India","2013-10-11 00:00:00",Gold,Fuel,F,208003,16279751
23611,"Hyderabad, India","2013-10-11 00:00:00",Gold,Entertainment,F,215803,16279751
4242,"Delhi, India","2013-10-11 00:00:00",Gold,Food,F,49153,16279751
4765,"Bengaluru, India","2013-10-11 00:00:00",Gold,Grocery,M,23448,16279751
3514,"Ahmedabad, India","2013-10-11 00:00:00",Gold,Food,M,186779,16279751
5436,"Greater Mumbai, India","2013-10-12 00:00:00",Gold,Food,F,45191,17745519
6946,"Ahmedabad, India","2013-10-12 00:00:00",Gold,Fuel,F,148387,17745519
9405,"Greater Mumbai, India","2013-10-12 00:00:00",Gold,Grocery,M,131410,17745519
10136,"Delhi, India","2013-10-12 00:00:00",Gold,Fuel,M,241870,17745519
13031,"Delhi, India","2013-10-12 00:00:00",Gold,Fuel,M,253012,17745519
21109,"Chennai, India","2013-10-12 00:00:00",Gold,Fuel,M,283417,17745519
23296,"Jaipur, India","2013-10-12 00:00:00",Gold,Bills,M,171529,17745519
23429,"Jaipur, India","2013-10-12 00:00:00",Gold,Entertainment,F,190952,17745519
23595,"Kanpur, India","2013-10-13 00:00:00",Gold,Food,F,152353,20350363
22652,"Kolkata, India","2013-10-13 00:00:00",Gold,Entertainment,F,102516,20350363
23885,"Lucknow, India","2013-10-13 00:00:00",Gold,Bills,M,261694,20350363
24510,"Hyderabad, India","2013-10-13 00:00:00",Gold,Entertainment,F,141838,20350363
13349,"Greater Mumbai, India","2013-10-13 00:00:00",Gold,Bills,M,7117,20350363
3508,"Bengaluru, India","2013-10-13 00:00:00",Gold,Fuel,M,66376,20350363
14132,"Jagdalpur, India","2013-10-13 00:00:00",Gold,Grocery,M,216770,20350363
14217,"Pilkhuwa, India","2013-10-13 00:00:00",Gold,Grocery,F,242968,20350363
16087,"Kagaznagar, India","2013-10-13 00:00:00",Gold,Fuel,F,108589,20350363
9654,"Ahmedabad, India","2013-10-13 00:00:00",Gold,Food,F,122157,20350363
7725,"Greater Mumbai, India","2013-10-13 00:00:00",Gold,Grocery,M,174136,20350363
6916,"Delhi, India","2013-10-13 00:00:00",Gold,Food,M,76546,20350363
2328,"Bengaluru, India","2013-10-13 00:00:00",Gold,Fuel,M,50515,20350363
1647,"Ahmedabad, India","2013-10-13 00:00:00",Gold,Bills,F,238211,20350363
16827,"Bhadrak, India","2013-10-13 00:00:00",Gold,Grocery,M,236547,20350363
17974,"Sagara, India","2013-10-13 00:00:00",Gold,Food,M,80739,20350363
17676,"Tuni, India","2013-10-13 00:00:00",Gold,Fuel,F,285125,20350363
16885,"Hardwar, India","2013-10-13 00:00:00",Gold,Grocery,M,40647,20350363
8331,"Bengaluru, India","2013-10-14 00:00:00",Gold,Food,M,75662,21617885
13697,"Ahmedabad, India","2013-10-14 00:00:00",Gold,Food,F,47708,21617885
24384,"Pune, India","2013-10-14 00:00:00",Gold,Fuel,F,297099,21617885
22740,"Kanpur, India","2013-10-14 00:00:00",Gold,Grocery,M,219728,21617885
22984,"Surat, India","2013-10-14 00:00:00",Gold,Entertainment,M,178699,21617885
13923,"Bengaluru, India","2013-10-14 00:00:00",Gold,Entertainment,M,151491,21617885
16360,"Tindivanam, India","2013-10-14 00:00:00",Gold,Bills,M,219317,21617885
2858,"Greater Mumbai, India","2013-10-14 00:00:00",Gold,Bills,F,16263,21617885
1878,"Ahmedabad, India","2013-10-14 00:00:00",Gold,Fuel,M,61555,21617885
16446,"Salaya, India","2013-10-15 00:00:00",Gold,Food,M,68123,22984251
15107,"Kolar, India","2013-10-15 00:00:00",Gold,Grocery,M,66211,22984251
17689,"Rahuri, India","2013-10-15 00:00:00",Gold,Bills,F,259380,22984251
18038,"Sadasivpet, India","2013-10-15 00:00:00",Gold,Entertainment,M,158636,22984251
23164,"Surat, India","2013-10-15 00:00:00",Gold,Food,F,276850,22984251
23679,"Lucknow, India","2013-10-15 00:00:00",Gold,Bills,F,111556,22984251
11522,"Bengaluru, India","2013-10-15 00:00:00",Gold,Food,M,37869,22984251
11550,"Greater Mumbai, India","2013-10-15 00:00:00",Gold,Entertainment,M,177019,22984251
21316,"Chennai, India","2013-10-15 00:00:00",Gold,Fuel,F,17114,22984251
7313,"Ahmedabad, India","2013-10-15 00:00:00",Gold,Bills,M,193608,22984251
6948,"Bengaluru, India","2013-10-16 00:00:00",Gold,Food,F,149612,24558300
24841,"Lucknow, India","2013-10-16 00:00:00",Gold,Entertainment,F,11281,24558300
23040,"Surat, India","2013-10-16 00:00:00",Gold,Food,F,203202,24558300
2155,"Bengaluru, India","2013-10-16 00:00:00",Gold,Fuel,F,134871,24558300
10934,"Ahmedabad, India","2013-10-16 00:00:00",Gold,Grocery,M,207501,24558300
10608,"Greater Mumbai, India","2013-10-16 00:00:00",Gold,Fuel,M,103294,24558300
18345,"Pappinisseri, India","2013-10-16 00:00:00",Gold,Entertainment,F,193606,24558300
15108,"Surat, India","2013-10-16 00:00:00",Gold,Fuel,F,214401,24558300
15815,"Baramula, India","2013-10-16 00:00:00",Gold,Grocery,M,197150,24558300
12491,"Delhi, India","2013-10-16 00:00:00",Gold,Fuel,M,114226,24558300
12770,"Bengaluru, India","2013-10-16 00:00:00",Gold,Grocery,F,44905,24558300
13425,"Delhi, India","2013-10-17 00:00:00",Gold,Entertainment,M,69575,26490197
11913,"Delhi, India","2013-10-17 00:00:00",Gold,Grocery,F,102262,26490197
12465,"Greater Mumbai, India","2013-10-17 00:00:00",Gold,Entertainment,F,215265,26490197
19388,"Mangrol, India","2013-10-17 00:00:00",Gold,Grocery,M,130566,26490197
17318,"Rabkavi Banhatti, India","2013-10-17 00:00:00",Gold,Entertainment,M,20746,26490197
25086,"Pune, India","2013-10-17 00:00:00",Gold,Bills,F,142247,26490197
682,"Delhi, India","2013-10-17 00:00:00",Gold,Food,F,113433,26490197
265,"Ahmedabad, India","2013-10-17 00:00:00",Gold,Bills,F,569582,26490197
14380,"Diphu, India","2013-10-17 00:00:00",Gold,Entertainment,F,169151,26490197
3060,"Bengaluru, India","2013-10-17 00:00:00",Gold,Food,F,51857,26490197
3604,"Delhi, India","2013-10-17 00:00:00",Gold,Food,M,66800,26490197
20926,"Chennai, India","2013-10-17 00:00:00",Gold,Bills,F,280413,26490197
21375,"Jaipur, India","2013-10-18 00:00:00",Gold,Entertainment,F,197386,27446817
16730,"Raisinghnagar, India","2013-10-18 00:00:00",Gold,Fuel,M,209216,27446817
5500,"Ahmedabad, India","2013-10-18 00:00:00",Gold,Fuel,F,12595,27446817
3470,"Bengaluru, India","2013-10-18 00:00:00",Gold,Bills,M,90997,27446817
435,"Greater Mumbai, India","2013-10-18 00:00:00",Gold,Bills,F,188856,27446817
14602,"Thiruvallur, India","2013-10-18 00:00:00",Gold,Food,M,113190,27446817
16568,"Kendujhar, India","2013-10-18 00:00:00",Gold,Bills,M,144380,27446817
19567,"Narasapuram, India","2013-10-19 00:00:00",Gold,Entertainment,M,204959,28832983
19759,"Osmanabad, India","2013-10-19 00:00:00",Gold,Bills,M,239468,28832983
12721,"Ahmedabad, India","2013-10-19 00:00:00",Gold,Bills,M,110647,28832983
22284,"Jaipur, India","2013-10-19 00:00:00",Gold,Bills,M,161865,28832983
23711,"Jaipur, India","2013-10-19 00:00:00",Gold,Food,F,242798,28832983
6216,"Delhi, India","2013-10-19 00:00:00",Gold,Fuel,F,23786,28832983
19142,"Malappuram, India","2013-10-19 00:00:00",Gold,Entertainment,M,87942,28832983
18344,"Visakhapatnam, India","2013-10-19 00:00:00",Gold,Fuel,F,279623,28832983
3677,"Ahmedabad, India","2013-10-19 00:00:00",Gold,Bills,M,35078,28832983
4978,"Delhi, India","2013-10-20 00:00:00",Gold,Fuel,M,218541,30352374
24942,"Hyderabad, India","2013-10-20 00:00:00",Gold,Entertainment,F,150584,30352374
13562,"Ahmedabad, India","2013-10-20 00:00:00",Gold,Grocery,M,48619,30352374
15733,"Sirhind Fatehgarh Sahib, India","2013-10-20 00:00:00",Gold,Bills,F,210467,30352374
16123,"Suar, India","2013-10-20 00:00:00",Gold,Fuel,F,3328,30352374
11068,"Delhi, India","2013-10-20 00:00:00",Gold,Grocery,F,276444,30352374
9088,"Delhi, India","2013-10-20 00:00:00",Gold,Grocery,M,264192,30352374
17382,"Bhuj, India","2013-10-20 00:00:00",Gold,Grocery,M,57858,30352374
19268,"Jhansi, India","2013-10-20 00:00:00",Gold,Fuel,M,289358,30352374
18934,"Shahabad Rampur, India","2013-10-21 00:00:00",Gold,Entertainment,F,3284,31613942
14809,"Shivpuri, India","2013-10-21 00:00:00",Gold,Entertainment,F,278217,31613942
3372,"Ahmedabad, India","2013-10-21 00:00:00",Gold,Bills,F,195523,31613942
5085,"Bengaluru, India","2013-10-21 00:00:00",Gold,Fuel,F,150431,31613942
3217,"Ahmedabad, India","2013-10-21 00:00:00",Gold,Entertainment,M,126336,31613942
5448,"Bengaluru, India","2013-10-21 00:00:00",Gold,Bills,F,290022,31613942
13215,"Ahmedabad, India","2013-10-21 00:00:00",Gold,Fuel,M,36310,31613942
7589,"Ahmedabad, India","2013-10-21 00:00:00",Gold,Fuel,F,109151,31613942
6197,"Greater Mumbai, India","2013-10-21 00:00:00",Gold,Food,M,72294,31613942
7973,"Greater Mumbai, India","2013-10-22 00:00:00",Gold,Grocery,F,286012,33358465
16890,"Pattukkottai, India","2013-10-22 00:00:00",Gold,Fuel,F,294583,33358465
22087,"Lucknow, India","2013-10-22 00:00:00",Gold,Entertainment,M,207941,33358465
13840,"Delhi, India","2013-10-22 00:00:00",Gold,Food,F,77358,33358465
11186,"Delhi, India","2013-10-22 00:00:00",Gold,Entertainment,F,159090,33358465
527,"Bengaluru, India","2013-10-22 00:00:00",Gold,Food,F,125290,33358465
406,"Ahmedabad, India","2013-10-22 00:00:00",Gold,Bills,F,20032,33358465
9728,"Greater Mumbai, India","2013-10-22 00:00:00",Gold,Entertainment,F,56072,33358465
9901,"Delhi, India","2013-10-22 00:00:00",Gold,Food,F,264308,33358465
10863,"Delhi, India","2013-10-22 00:00:00",Gold,Fuel,M,114384,33358465
9130,"Greater Mumbai, India","2013-10-22 00:00:00",Gold,Food,F,139453,33358465
20978,"Kolkata, India","2013-10-23 00:00:00",Gold,Entertainment,M,246849,35831227
19881,"Rampurhat, India","2013-10-23 00:00:00",Gold,Food,F,196747,35831227
8302,"Delhi, India","2013-10-23 00:00:00",Gold,Grocery,M,154800,35831227
24095,"Surat, India","2013-10-23 00:00:00",Gold,Grocery,F,114985,35831227
3348,"Bengaluru, India","2013-10-23 00:00:00",Gold,Entertainment,F,127212,35831227
4108,"Bengaluru, India","2013-10-23 00:00:00",Gold,Fuel,M,170921,35831227
4014,"Greater Mumbai, India","2013-10-23 00:00:00",Gold,Food,M,113440,35831227
17237,"Sirsa, India","2013-10-23 00:00:00",Gold,Bills,F,199459,35831227
25342,"Kanpur, India","2013-10-23 00:00:00",Gold,Travel,F,97330,35831227
1928,"Ahmedabad, India","2013-10-23 00:00:00",Gold,Grocery,M,132728,35831227
15458,"Surapura, India","2013-10-23 00:00:00",Gold,Food,F,191508,35831227
16358,"Sanawad, India","2013-10-23 00:00:00",Gold,Grocery,M,117373,35831227
13799,"Greater Mumbai, India","2013-10-23 00:00:00",Gold,Food,M,136328,35831227
13270,"Ahmedabad, India","2013-10-23 00:00:00",Gold,Entertainment,F,299495,35831227
11482,"Delhi, India","2013-10-23 00:00:00",Gold,Fuel,F,173587,35831227
18306,"Kunnamkulam, India","2013-10-24 00:00:00",Gold,Grocery,F,216428,36838348
5582,"Greater Mumbai, India","2013-10-24 00:00:00",Gold,Food,M,9201,36838348
19810,"Keshod, India","2013-10-24 00:00:00",Gold,Bills,F,55571,36838348
4347,"Greater Mumbai, India","2013-10-24 00:00:00",Gold,Fuel,F,224271,36838348
23574,"Jaipur, India","2013-10-24 00:00:00",Gold,Fuel,M,232754,36838348
2545,"Delhi, India","2013-10-24 00:00:00",Gold,Fuel,F,173318,36838348
2347,"Bengaluru, India","2013-10-24 00:00:00",Gold,Fuel,M,95578,36838348
5170,"Bengaluru, India","2013-10-25 00:00:00",Gold,Grocery,F,271783,38165304
17507,"Shivamogga, India","2013-10-25 00:00:00",Gold,Fuel,F,224659,38165304
11647,"Greater Mumbai, India","2013-10-25 00:00:00",Gold,Bills,M,237660,38165304
20919,"Lucknow, India","2013-10-25 00:00:00",Gold,Food,F,137176,38165304
8114,"Greater Mumbai, India","2013-10-25 00:00:00",Gold,Bills,M,4303,38165304
23394,"Surat, India","2013-10-25 00:00:00",Gold,Grocery,F,53677,38165304
24337,"Kolkata, India","2013-10-25 00:00:00",Gold,Grocery,F,110415,38165304
14746,"Firozabad, India","2013-10-25 00:00:00",Gold,Grocery,M,287283,38165304
20568,"Lucknow, India","2013-10-26 00:00:00",Gold,Bills,M,166067,40535049
19767,"Ludhiana, India","2013-10-26 00:00:00",Gold,Food,M,149950,40535049
8515,"Greater Mumbai, India","2013-10-26 00:00:00",Gold,Bills,F,296833,40535049
8424,"Delhi, India","2013-10-26 00:00:00",Gold,Grocery,M,269723,40535049
152,"Bengaluru, India","2013-10-26 00:00:00",Gold,Bills,F,897621,40535049
11708,"Bengaluru, India","2013-10-26 00:00:00",Gold,Food,F,142970,40535049
18179,"Mudhol, India","2013-10-26 00:00:00",Gold,Grocery,M,283229,40535049
26040,"Hyderabad, India","2013-10-26 00:00:00",Gold,Travel,F,163352,40535049
15147,"Pavagada, India","2013-10-27 00:00:00",Gold,Entertainment,M,91400,43034130
134,"Delhi, India","2013-10-27 00:00:00",Gold,Bills,F,996754,43034130
9757,"Bengaluru, India","2013-10-27 00:00:00",Gold,Grocery,M,255458,43034130
10900,"Bengaluru, India","2013-10-27 00:00:00",Gold,Fuel,F,59639,43034130
8761,"Ahmedabad, India","2013-10-27 00:00:00",Gold,Entertainment,F,143390,43034130
17152,"Shrigonda, India","2013-10-27 00:00:00",Gold,Entertainment,M,110619,43034130
17924,"Nellore, India","2013-10-27 00:00:00",Gold,Entertainment,M,261511,43034130
23498,"Hyderabad, India","2013-10-27 00:00:00",Gold,Food,F,151689,43034130
24536,"Surat, India","2013-10-27 00:00:00",Gold,Food,F,54873,43034130
6562,"Ahmedabad, India","2013-10-27 00:00:00",Gold,Fuel,M,227344,43034130
7644,"Greater Mumbai, India","2013-10-27 00:00:00",Gold,Food,F,146404,43034130
7576,"Ahmedabad, India","2013-10-28 00:00:00",Gold,Entertainment,M,216161,43879807
4182,"Bengaluru, India","2013-10-28 00:00:00",Gold,Grocery,M,85470,43879807
21422,"Lucknow, India","2013-10-28 00:00:00",Gold,Fuel,F,139699,43879807
14449,"Deoghar, India","2013-10-28 00:00:00",Gold,Grocery,M,63821,43879807
22588,"Kolkata, India","2013-10-28 00:00:00",Gold,Grocery,F,87520,43879807
9445,"Bengaluru, India","2013-10-28 00:00:00",Gold,Entertainment,M,198887,43879807
17620,"Mohali, India","2013-10-28 00:00:00",Gold,Food,F,54119,43879807
17342,"Sugauli, India","2013-10-29 00:00:00",Gold,Fuel,F,1544,45306557
7766,"Delhi, India","2013-10-29 00:00:00",Gold,Bills,F,273658,45306557
12930,"Delhi, India","2013-10-29 00:00:00",Gold,Food,M,126717,45306557
13687,"Bengaluru, India","2013-10-29 00:00:00",Gold,Bills,M,282107,45306557
10835,"Greater Mumbai, India","2013-10-29 00:00:00",Gold,Entertainment,F,178375,45306557
8997,"Greater Mumbai, India","2013-10-29 00:00:00",Gold,Grocery,F,23606,45306557
16248,"Musabani, India","2013-10-29 00:00:00",Gold,Fuel,F,202808,45306557
23589,"Jaipur, India","2013-10-29 00:00:00",Gold,Bills,F,285190,45306557
22410,"Jaipur, India","2013-10-29 00:00:00",Gold,Food,M,52745,45306557
4547,"Bengaluru, India","2013-10-30 00:00:00",Gold,Grocery,M,57447,46087671
3763,"Ahmedabad, India","2013-10-30 00:00:00",Gold,Entertainment,M,84219,46087671
25376,"Chennai, India","2013-10-30 00:00:00",Gold,Travel,M,270426,46087671
25732,"Kolkata, India","2013-10-30 00:00:00",Gold,Travel,F,100064,46087671
15729,"Sainthia, India","2013-10-30 00:00:00",Gold,Bills,F,227389,46087671
11119,"Ahmedabad, India","2013-10-30 00:00:00",Gold,Grocery,M,41569,46087671
11777,"Ahmedabad, India","2013-10-31 00:00:00",Gold,Bills,F,51687,48207082
12222,"Bengaluru, India","2013-10-31 00:00:00",Gold,Bills,F,12192,48207082
5420,"Delhi, India","2013-10-31 00:00:00",Gold,Grocery,F,166138,48207082
20983,"Jaipur, India","2013-10-31 00:00:00",Gold,Entertainment,F,273219,48207082
249,"Delhi, India","2013-10-31 00:00:00",Gold,Bills,F,868021,48207082
2261,"Bengaluru, India","2013-10-31 00:00:00",Gold,Fuel,M,298183,48207082
7867,"Ahmedabad, India","2013-10-31 00:00:00",Gold,Fuel,M,20076,48207082
16125,"Sheopur, India","2013-10-31 00:00:00",Gold,Bills,F,119143,48207082
25288,"Pune, India","2013-10-31 00:00:00",Gold,Food,F,29419,48207082
8853,"Bengaluru, India","2013-10-31 00:00:00",Gold,Bills,M,86653,48207082
9630,"Greater Mumbai, India","2013-10-31 00:00:00",Gold,Bills,M,194680,48207082
9707,"Bengaluru, India","2013-11-01 00:00:00",Gold,Entertainment,M,192259,49981756
9883,"Greater Mumbai, India","2013-11-01 00:00:00",Gold,Food,M,71877,49981756
8910,"Delhi, India","2013-11-01 00:00:00",Gold,Grocery,M,51019,49981756
10263,"Greater Mumbai, India","2013-11-01 00:00:00",Gold,Food,F,29867,49981756
96,"Bengaluru, India","2013-11-01 00:00:00",Gold,Bills,F,896384,49981756
4912,"Bengaluru, India","2013-11-01 00:00:00",Gold,Grocery,F,250112,49981756
8127,"Bengaluru, India","2013-11-01 00:00:00",Gold,Fuel,M,283156,49981756
6533,"Bengaluru, India","2013-11-02 00:00:00",Gold,Grocery,M,8393,51859411
5752,"Bengaluru, India","2013-11-02 00:00:00",Gold,Food,F,251404,51859411
1512,"Greater Mumbai, India","2013-11-02 00:00:00",Gold,Food,M,225966,51859411
1364,"Greater Mumbai, India","2013-11-02 00:00:00",Gold,Food,F,104262,51859411
10713,"Bengaluru, India","2013-11-02 00:00:00",Gold,Grocery,F,65007,51859411
17618,"Bengaluru, India","2013-11-02 00:00:00",Gold,Grocery,F,281540,51859411
17411,"Pandharpur, India","2013-11-02 00:00:00",Gold,Bills,F,160925,51859411
21354,"Chennai, India","2013-11-02 00:00:00",Gold,Grocery,F,112793,51859411
22817,"Jaipur, India","2013-11-02 00:00:00",Gold,Entertainment,F,158077,51859411
22289,"Jaipur, India","2013-11-02 00:00:00",Gold,Food,F,106028,51859411
3825,"Delhi, India","2013-11-02 00:00:00",Gold,Grocery,F,173556,51859411
3208,"Delhi, India","2013-11-02 00:00:00",Gold,Food,M,135150,51859411
14784,"Arwal, India","2013-11-02 00:00:00",Gold,Grocery,M,94554,51859411
16201,"Upleta, India","2013-11-03 00:00:00",Gold,Grocery,F,222177,53111115
15658,"Sindhagi, India","2013-11-03 00:00:00",Gold,Grocery,F,39093,53111115
2647,"Ahmedabad, India","2013-11-03 00:00:00",Gold,Fuel,M,78101,53111115
7447,"Ahmedabad, India","2013-11-03 00:00:00",Gold,Fuel,M,37854,53111115
