,Credit_card,Product_ID,P_CATEGORY,CONDTION,Brand,Price ,Selling_price,Coupon_ID,Date,Time,GTIN,MPN,Merchant_name,M_ID,Payment Method,Transaction ID,Return_ind,Return_date,Discount,Value,Day_of_Week,Month
236,6214.0,722,GAMES,New,KJOGG,1680.33,1630.33,WI957,2014-02-02,05:54:55,6746188,123745689,The North Face,GH6874,Mobile carrier Billing,91066,1,2014-02-09,50.0,Low,Sunday,February
255,9086.0,544,ELECTRONICS,Used,FMBZC,781.93,763.93,DR998,2014-04-02,11:14:10,5224940,754099083,Peninsula Beauty,YE5901,Prepaid card,12323,1,2014-04-09,18.0,Low,Wednesday,April
285,4878.0,527,KITCHEN & DINING,Used,ZGHYW,115.43,97.43,OD304,2014-04-29,01:20:46,7912196,222294174,The Vitamin Shoppe,HW9978,Mobile carrier Billing,32785,1,2014-05-06,18.0,Low,Tuesday,April
308,2024.0,722,GAMES,New,KJOGG,1680.33,1638.33,KH361,2014-01-17,16:18:40,1432384,917276005,The North Face,GH6874,Mobile carrier Billing,33397,1,2014-01-24,42.0,Low,Friday,January
327,9563.0,295,COMPUTERS,Used,DCJRW,622.19,591.19,QU231,2014-06-03,23:23:32,8909862,215570132,Ulta,UO9660,Mobile carrier Billing,37392,1,2014-06-10,31.0,Low,Tuesday,June
345,4632.0,198,KITCHEN & DINING,Refurbished,RGMIK,3643.75,3600.75,YG898,2014-06-08,19:22:11,1305340,906278342,Nine West,RM9837,Mobile carrier Billing,56253,1,2014-06-15,43.0,High,Sunday,June
347,6075.0,281,CLOTHING,Refurbished,ONKHS,3797.31,3769.31,QN531,2014-12-20,14:40:22,4493132,312218270,The North Face,GH6873,Mobile carrier Billing,56020,1,2014-12-27,28.0,High,Saturday,December
363,9063.0,527,BABY CLOTHING,New,BGYXR,3309.99,3291.99,HF546,2014-04-02,03:34:46,8742852,777087461,Barnes & Noble,EY1658,Prepaid card,17056,1,2014-04-09,18.0,High,Wednesday,April
367,2024.0,907,DECOR,Used,LBVIW,2661.83,2635.83,IY704,2014-06-12,11:43:12,3235011,299527774,Cole Hardware,EX7731,Mobile carrier Billing,9827,1,2014-06-19,26.0,Low,Thursday,June
369,6075.0,722,GAMES,Refurbished,EITXF,2421.99,2402.99,HM811,2014-11-10,11:27:56,7389144,694312059,Peninsula Beauty,YE5901,Credit card,92319,1,2014-11-17,19.0,Low,Monday,November
371,3402.0,512,BEDDING,New,HXPCS,136.84,111.84,RB205,2014-02-18,07:32:33,4775471,224837193,Road Runner Sports,MS6579,Mobile carrier Billing,52858,1,2014-02-25,25.0,Low,Tuesday,February
377,4284.0,324,ELECTRONICS,New,AGSDS,2132.96,2042.96,,2014-02-01,13:50:04,5862227,958695868,DODOcase,UW7356,Credit card,59297,1,2014-02-08,90.0,Low,Saturday,February
406,9532.0,449,SHOES,Refurbished,VKKEA,4308.02,4263.02,WD116,2014-06-06,04:40:49,1965152,686793816,Staples,VN6656,Credit card,55946,1,2014-06-13,45.0,High,Friday,June
441,8523.0,912,APPLIANCES,New,AVMAI,3332.4,3284.4,MQ982,2014-08-20,01:44:39,8036212,738108476,PetSmart,IB7024,Credit card,59170,1,2014-08-27,48.0,High,Wednesday,August
442,9587.0,810,BABY CLOTHING,Used,GOZLI,2099.17,2088.17,MZ972,2014-08-25,21:18:27,8210674,578952507,DODOcase,UW7357,Credit card,4325,1,2014-09-01,11.0,Low,Monday,August
443,1779.0,773,SHOES,New,MQSLF,645.1,616.1,EK545,2014-01-04,23:47:14,9141931,181794569,Nine West,RM9837,Credit card,13578,1,2014-01-11,29.0,Low,Saturday,January
444,6932.0,772,KITCHEN & DINING,New,RGMIK,3373.87,3330.87,QH690,2014-05-25,23:48:20,6763368,724424443,Guitar Center,GN4079,Mobile carrier Billing,2556,1,2014-06-01,43.0,High,Sunday,May
445,7486.0,912,SHOES,New,VKKEA,2230.61,2140.61,,2014-01-21,17:17:43,2782598,649598180,Walgreens,VW7192,Mobile carrier Billing,77905,1,2014-01-28,90.0,Low,Tuesday,January
446,9723.0,260,DECOR,Refurbished,DGWZG,1623.34,1608.34,MN407,2014-04-16,19:54:14,5608018,175867955,Nob Hill Foods,KL2558,Mobile carrier Billing,78069,1,2014-04-23,15.0,Low,Wednesday,April
447,1174.0,622,COMPUTERS,Refurbished,GCVNE,1429.88,1381.88,LE453,2014-10-07,06:03:23,8596919,852928720,Staples,VN6655,Credit card,11181,1,2014-10-14,48.0,Low,Tuesday,October
448,3928.0,687,DECOR,Used,EYYSO,2744.78,2718.78,CF343,2014-04-23,16:30:58,8803948,257605451,L'Occitane,GN3944,Mobile carrier Billing,46752,1,2014-04-30,26.0,Low,Wednesday,April
449,3942.0,795,DECOR,New,QHIYO,2831.25,2783.25,NB127,2014-09-03,01:28:09,3107808,256896639,Right Start,IQ1509,Mobile carrier Billing,79060,1,2014-09-10,48.0,High,Wednesday,September
450,4477.0,534,DECOR,Refurbished,ZACKV,4981.73,4956.73,TJ926,2014-09-20,06:16:52,9890758,800487387,Ulta,UO9656,Mobile carrier Billing,41747,1,2014-09-27,25.0,High,Saturday,September
451,6071.0,762,OFFICE SUPPLIES,New,EVWJY,692.85,657.85,AO224,2014-12-03,00:14:06,6035397,724127540,Road Runner Sports,MS6581,Mobile carrier Billing,40536,1,2014-12-10,35.0,Low,Wednesday,December
452,2200.0,702,APPLIANCES,Refurbished,BUDLO,4042.54,4030.54,FT347,2014-06-09,11:33:44,1923609,991692882,REI,EI6773,Mobile carrier Billing,39539,1,2014-06-16,12.0,High,Monday,June
453,2396.0,343,BABY TOYS,Refurbished,GOZLI,4893.11,4648.4545,RD563,2014-11-30,07:47:16,1343468,454389258,Ulta,UO9657,Credit card,58089,1,2014-12-07,244.65549999999985,High,Sunday,November
454,4477.0,534,DECOR,Refurbished,ZACKV,4981.73,4955.73,PV151,2014-08-03,02:08:16,7285432,575141881,Ulta,UO9656,Paypal wallet,69545,1,2014-08-10,26.0,High,Sunday,August
455,4807.0,912,SHOES,New,VKKEA,2230.61,2193.61,FE876,2014-07-09,09:17:42,5781158,788266418,Walgreens,VW7192,Mobile carrier Billing,37544,1,2014-07-16,37.0,Low,Wednesday,July
456,6946.0,311,BABY TOYS,New,LATFL,3128.36,3082.36,PS574,2014-03-01,09:01:20,8120618,797883041,DODOcase,UW7355,Credit card,63612,1,2014-03-08,46.0,High,Saturday,March
457,9275.0,710,KITCHEN & DINING,New,RGMIK,663.82,641.82,MH632,2014-10-10,16:53:41,8131421,770510088,Road Runner Sports,MS6579,Prepaid card,65033,1,2014-10-17,22.0,Low,Friday,October
458,4128.0,162,BABY CLOTHING,Refurbished,GOZLI,2889.61,2847.61,DE408,2014-03-16,17:04:33,5510810,300058877,Road Runner Sports,MS6579,Credit card,3862,1,2014-03-23,42.0,High,Sunday,March
459,4879.0,986,BEDDING,New,RMHRO,4298.83,4274.83,VT491,2014-11-03,10:34:10,9133841,231147889,The Vitamin Shoppe,HW9980,Mobile carrier Billing,29756,1,2014-11-10,24.0,High,Monday,November
460,7861.0,781,SHOES,New,VKKEA,2280.16,2262.16,GV521,2014-11-13,16:58:54,4498795,795705208,Cole Hardware,EX7729,Credit card,1943,1,2014-11-20,18.0,Low,Thursday,November
461,5229.0,332,OFFICE SUPPLIES,New,EVWJY,4211.48,4180.48,QX304,2014-06-07,14:00:46,3062117,474434700,The North Face,GH6872,Credit card,67160,1,2014-06-14,31.0,High,Saturday,June
462,8532.0,956,COMPUTERS,New,YEJZI,3158.59,3129.59,BG805,2014-12-03,03:00:07,6031661,958344649,DODOcase,UW7352,Credit card,82538,1,2014-12-10,29.0,High,Wednesday,December
463,8639.0,138,BABY TOYS,Used,TPDLE,3521.43,3503.43,FT411,2014-03-23,21:28:22,5109259,628291925,Gymboree,ZF8986,Mobile carrier Billing,33919,1,2014-03-30,18.0,High,Sunday,March
464,9587.0,784,APPLIANCES,Used,AVMAI,2053.24,2016.24,JQ608,2014-12-07,22:08:07,9187982,267775024,Ulta,UO9656,Credit card,66597,1,2014-12-14,36.99999999999977,Low,Sunday,December
465,2637.0,111,GAMES,New,EITXF,4258.22,4232.22,ZC235,2014-04-07,12:55:17,6172690,112620712,Cole Hardware,EX7729,Mobile carrier Billing,43371,1,2014-04-14,26.0,High,Monday,April
466,3723.0,236,ELECTRONICS,Used,BEFJD,4195.69,4156.69,QD139,2014-06-21,03:42:02,2352574,165387303,Ulta,UO9658,Credit card,18427,1,2014-06-28,39.0,High,Saturday,June
467,4879.0,607,ELECTRONICS,Used,CWTLA,2327.67,2293.67,JR795,2014-11-15,10:58:30,3896542,522942640,The Vitamin Shoppe,HW9979,Mobile carrier Billing,44781,1,2014-11-22,34.0,Low,Saturday,November
468,7991.0,988,COMPUTERS,Used,DCJRW,865.57,828.57,RI554,2014-02-15,19:31:20,4561233,316589734,Staples,VN6655,Mobile carrier Billing,69142,1,2014-02-22,37.0,Low,Saturday,February
469,2297.0,281,CLOTHING,Refurbished,ONKHS,3797.31,3756.31,HN272,2014-02-16,07:20:18,3182290,486942424,The North Face,GH6873,Mobile carrier Billing,70843,1,2014-02-23,41.0,High,Sunday,February
470,3122.0,200,DECOR,Refurbished,QHIYO,59.63,25.63,IY784,2014-08-02,00:58:39,5139805,566345789,L'Occitane,GN4034,Mobile carrier Billing,79912,1,2014-08-09,34.0,Low,Saturday,August
471,9174.0,715,COMPUTERS,Used,YEJZI,1827.63,1736.2485,TU873,2014-04-07,01:23:19,8037118,452946064,Road Runner Sports,MS6580,Prepaid card,91675,1,2014-04-14,91.38150000000019,Low,Monday,April
472,9940.0,694,ELECTRONICS,New,AGSDS,3123.8,3085.8,OO941,2014-02-17,14:25:29,2168049,562391839,Barnes & Noble,EY1659,Prepaid card,14601,1,2014-02-24,38.0,High,Monday,February
473,2620.0,300,APPLIANCES,New,KZDWR,4918.58,4877.58,LD600,2014-05-20,04:06:22,3011244,580013303,Walgreens,VW7191,Prepaid card,94647,1,2014-05-27,41.0,High,Tuesday,May
474,8532.0,381,OFFICE SUPPLIES,New,WELZA,4694.6,4680.6,ZZ588,2014-05-05,22:00:09,1698430,689393918,Cole Hardware,EX7729,Mobile carrier Billing,47219,1,2014-05-12,14.0,High,Monday,May
475,3496.0,810,DECOR,Used,ZACKV,1247.24,1199.24,FY597,2014-11-09,13:20:05,9452655,364563322,The Vitamin Shoppe,HW9975,Mobile carrier Billing,27713,1,2014-11-16,48.0,Low,Sunday,November
476,1739.0,396,LUGGAGE,New,TNVON,1452.5,1431.5,EU348,2014-08-05,11:26:45,1120396,224193987,DODOcase,UW7354,Prepaid card,94189,1,2014-08-12,21.0,Low,Tuesday,August
477,4238.0,579,COMPUTERS,Refurbished,GCVNE,1435.77,1421.77,OB940,2014-10-26,10:57:08,6955746,905262958,The Vitamin Shoppe,HW9979,Mobile carrier Billing,40890,1,2014-11-02,14.0,Low,Sunday,October
478,4852.0,644,DECOR,Used,ZACKV,4514.96,4468.96,NS413,2014-12-12,21:35:20,7477536,469517009,Guitar Center,GN4259,Mobile carrier Billing,95276,1,2014-12-19,46.0,High,Friday,December
479,5057.0,111,COMPUTERS,New,YEJZI,2429.24,2406.24,IR564,2014-01-11,17:49:26,9227365,749819168,L'Occitane,GN4214,Mobile carrier Billing,93664,1,2014-01-18,23.0,Low,Saturday,January
480,1808.0,970,LUGGAGE,Refurbished,CENQJ,635.56,616.56,QY890,2014-03-25,12:10:10,7891860,822249387,Peninsula Beauty,YE5901,Mobile carrier Billing,54553,1,2014-04-01,19.0,Low,Tuesday,March
481,2028.0,132,OFFICE SUPPLIES,New,WELZA,4531.66,4489.66,VB814,2014-08-15,01:21:18,5871284,809432692,Ulta,UO9657,Credit card,46278,1,2014-08-22,42.0,High,Friday,August
482,4358.0,830,OFFICE SUPPLIES,Used,EVWJY,2431.78,2403.78,AY686,2014-12-04,19:46:34,6827980,867913784,The North Face,GH6874,Credit card,11217,1,2014-12-11,28.0,Low,Thursday,December
483,4595.0,875,DECOR,Refurbished,LBVIW,4993.38,4975.38,GK692,2014-05-15,16:59:34,5484698,570645611,Cole Hardware,EX7730,Mobile carrier Billing,71031,1,2014-05-22,18.0,High,Thursday,May
484,7848.0,827,ELECTRONICS,New,OULOW,2830.51,2809.51,SN760,2014-02-27,00:05:45,5620182,189568585,Gymboree,ZF8986,Mobile carrier Billing,39131,1,2014-03-06,21.0,Low,Thursday,February
485,7979.0,534,SHOES,New,RKFCM,1484.74,1410.503,GP141,2014-11-18,05:01:56,7855657,383376455,Peninsula Beauty,YE5901,Prepaid card,29537,1,2014-11-25,74.23700000000008,Low,Tuesday,November
486,8914.0,604,OFFICE SUPPLIES,Refurbished,WELZA,3468.09,3456.09,HG212,2014-01-25,20:35:00,4195256,525433377,Ulta,UO9660,Prepaid card,63049,1,2014-02-01,12.0,High,Saturday,January
487,9554.0,772,GAMES,Used,KJOGG,706.15,687.15,NB703,2014-10-29,21:02:24,8789208,987865686,L'Occitane,GN4034,Mobile carrier Billing,93471,1,2014-11-05,19.0,Low,Wednesday,October
488,2172.0,922,LUGGAGE,Refurbished,TNVON,1567.45,1550.45,LV881,2014-04-01,18:20:44,9039530,682524502,PetSmart,IB7024,Mobile carrier Billing,37874,1,2014-04-08,17.0,Low,Tuesday,April
489,3156.0,752,CLOTHING,Used,GTFFL,625.61,615.61,YV448,2014-06-26,22:44:25,2216428,643401891,Barnes & Noble,EY1660,Mobile carrier Billing,20694,1,2014-07-03,10.0,Low,Thursday,June
490,6143.0,844,BEDDING,New,RKCPD,3559.28,3529.28,LD508,2014-01-21,12:15:34,4294220,404982999,Walgreens,VW7191,Mobile carrier Billing,23783,1,2014-01-28,30.0,High,Tuesday,January
491,9563.0,827,KITCHEN & DINING,New,NSILF,2213.77,2184.77,TR713,2014-02-25,07:05:31,1251509,295972671,L'Occitane,GN4304,Mobile carrier Billing,42341,1,2014-03-04,29.0,Low,Tuesday,February
492,2019.0,449,SHOES,New,MQSLF,2375.92,2326.92,AO707,2014-09-02,18:43:56,1111296,636154490,Gymboree,ZF8986,Mobile carrier Billing,27874,1,2014-09-09,49.0,Low,Tuesday,September
493,2062.0,702,APPLIANCES,Refurbished,BUDLO,4042.54,4022.54,NP269,2014-10-03,21:54:31,9957792,729858312,REI,EI6773,Mobile carrier Billing,99995,1,2014-10-10,20.0,High,Friday,October
494,6946.0,702,APPLIANCES,Refurbished,BUDLO,4042.54,4029.54,RW460,2014-01-13,18:46:56,4583001,997469288,REI,EI6773,Prepaid card,94651,1,2014-01-20,13.0,High,Monday,January
495,7979.0,875,BEDDING,New,CJUEU,2399.11,2279.1545,RT697,2014-07-10,23:19:18,2917506,375695063,DODOcase,UW7352,Gift card,87588,1,2014-07-17,119.95550000000003,Low,Thursday,July
496,9305.0,838,BEDDING,Refurbished,CJUEU,1980.83,1881.7884999999999,SI599,2014-10-24,07:57:37,5270774,618459130,Gymboree,ZF8986,Credit card,57172,1,2014-10-31,99.04150000000004,Low,Friday,October
497,3040.0,119,COMPUTERS,New,YXQFM,901.26,870.26,AD617,2014-05-28,11:53:37,2628367,932276769,Costco,GW8247,Prepaid card,70974,1,2014-06-04,31.0,Low,Wednesday,May
498,3175.0,623,KITCHEN & DINING,Used,NSILF,4832.53,4794.53,HT372,2014-01-18,11:05:47,7530113,488591075,Nob Hill Foods,KL2558,Mobile carrier Billing,90651,1,2014-01-25,38.0,High,Saturday,January
499,6042.0,151,SHOES,New,VKKEA,3653.68,3641.68,OK693,2014-01-26,08:10:24,3082694,715497669,Nine West,RM9837,Credit card,71868,1,2014-02-02,12.0,High,Sunday,January
500,6825.0,395,OFFICE SUPPLIES,New,WELZA,2909.68,2865.68,RR589,2014-03-13,13:24:58,2962013,899814214,DODOcase,UW7356,Credit card,6068,1,2014-03-20,44.0,High,Thursday,March
501,7653.0,236,ELECTRONICS,Used,BEFJD,4195.69,4164.69,EX623,2014-01-10,11:01:36,2134018,291089311,Ulta,UO9658,Credit card,5662,1,2014-01-17,31.0,High,Friday,January
502,9699.0,694,ELECTRONICS,New,AGSDS,3123.8,3073.8,CC917,2014-12-07,19:58:07,3751859,709679926,Barnes & Noble,EY1659,Prepaid card,22682,1,2014-12-14,50.0,High,Sunday,December
503,9699.0,699,CLOTHING,New,KXUWE,1061.81,1035.81,RY154,2014-03-10,04:13:20,2888107,920454811,Guitar Center,GN3989,Mobile carrier Billing,53464,1,2014-03-17,26.0,Low,Monday,March
504,3598.0,737,GAMES,Used,KJOGG,733.21,717.21,QM916,2014-03-31,21:55:23,1794235,768553717,Guitar Center,GN3989,Mobile carrier Billing,57091,1,2014-04-07,16.0,Low,Monday,March
505,7412.0,752,OFFICE SUPPLIES,Refurbished,EVWJY,4802.17,4712.17,,2014-08-17,12:32:24,7038849,244802920,The North Face,GH6873,Mobile carrier Billing,57874,1,2014-08-24,90.0,High,Sunday,August
506,8067.0,722,ELECTRONICS,New,OULOW,3469.59,3437.59,RA716,2014-05-02,06:26:06,2086311,724788932,Walgreens,VW7192,Prepaid card,59171,1,2014-05-09,32.0,High,Friday,May
507,9532.0,324,LUGGAGE,New,IWPJG,4178.16,4132.16,EZ411,2014-02-24,12:10:09,7926606,122341112,Nine West,RM9837,Prepaid card,40876,1,2014-03-03,46.0,High,Monday,February
509,2019.0,395,OFFICE SUPPLIES,New,WELZA,2909.68,2868.68,QL610,2014-11-18,13:41:01,9952649,388475660,DODOcase,UW7356,Credit card,34218,1,2014-11-25,41.0,High,Tuesday,November
510,1548.0,810,DECOR,Used,ZACKV,1247.24,1221.24,JY666,2014-07-01,12:21:06,3065706,938358600,The Vitamin Shoppe,HW9975,Prepaid card,56968,1,2014-07-08,26.0,Low,Tuesday,July
511,3768.0,912,APPLIANCES,New,AVMAI,3332.4,3165.7799999999997,YC558,2014-11-15,08:42:10,8616472,528321161,PetSmart,IB7024,Debit card,52468,1,2014-11-22,166.62000000000035,High,Saturday,November
512,5008.0,535,KITCHEN & DINING,New,HLICV,4990.97,4741.4215,FT636,2014-05-20,11:02:38,4113860,742190674,Barnes & Noble,EY1658,Prepaid card,94691,1,2014-05-27,249.54849999999988,High,Tuesday,May
513,7979.0,604,ELECTRONICS,Used,CWTLA,4526.52,4476.52,NJ917,2014-11-10,10:36:29,7834525,584440467,PetSmart,IB7024,Mobile carrier Billing,48042,1,2014-11-17,50.0,High,Monday,November
514,2377.0,435,GAMES,New,HWAVW,4157.59,4125.59,OT163,2014-04-01,14:32:30,3050835,643043421,Road Runner Sports,MS6580,Prepaid card,24785,1,2014-04-08,32.0,High,Tuesday,April
515,5481.0,784,GAMES,Used,EITXF,1017.77,996.77,LZ335,2014-06-09,09:38:25,8783883,697278810,Costco,GW8248,Mobile carrier Billing,30387,1,2014-06-16,21.0,Low,Monday,June
516,6224.0,810,DECOR,Used,ZACKV,1247.24,1218.24,PX676,2014-05-07,17:00:33,8992805,284133171,The Vitamin Shoppe,HW9975,Mobile carrier Billing,65105,1,2014-05-14,29.0,Low,Wednesday,May
517,6286.0,383,CLOTHING,Refurbished,IKPMD,2813.03,2767.03,HW159,2014-02-24,11:46:03,2430178,119444837,L'Occitane,GN3944,Mobile carrier Billing,62129,1,2014-03-03,46.0,Low,Monday,February
518,7496.0,702,DECOR,New,LBVIW,2471.36,2455.36,MA994,2014-09-12,17:15:51,2499014,165660808,Walgreens,VW7192,Mobile carrier Billing,25694,1,2014-09-19,16.0,Low,Friday,September
519,7075.0,670,GAMES,New,KJOGG,3155.29,3105.29,YH660,2014-02-28,18:09:19,9236635,112612983,Staples,VN6655,Credit card,21957,1,2014-03-07,50.0,High,Friday,February
520,2024.0,827,ELECTRONICS,New,OULOW,2830.51,2780.51,QM917,2014-01-31,18:26:03,3940623,443328282,Gymboree,ZF8986,Mobile carrier Billing,52502,1,2014-02-07,50.0,Low,Friday,January
521,3018.0,138,BABY TOYS,Used,TPDLE,3521.43,3472.43,IS827,2014-03-24,08:19:46,1604192,233722084,Gymboree,ZF8986,Mobile carrier Billing,39694,1,2014-03-31,49.0,High,Monday,March
522,3965.0,767,SHOES,New,DYHNA,3978.88,3946.88,YC178,2014-04-27,10:35:07,5451476,910728566,Guitar Center,GN3989,Credit card,29113,1,2014-05-04,32.0,High,Sunday,April
523,3931.0,470,LUGGAGE,Used,TNVON,4783.25,4773.25,LT148,2014-02-21,15:32:21,9108575,628235724,REI,EI6775,Prepaid card,18253,1,2014-02-28,10.0,High,Friday,February
524,7848.0,145,CLOTHING,New,ZVYTC,3631.77,3450.1814999999997,BK650,2014-01-23,23:11:31,3447289,460534600,Nine West,RM9837,Mobile carrier Billing,37717,1,2014-01-30,181.5885000000003,High,Thursday,January
525,2024.0,111,GAMES,New,EITXF,4258.22,4045.309,PN999,2014-01-18,14:09:05,9028914,956982458,Cole Hardware,EX7729,Credit card,83882,1,2014-01-25,212.91100000000006,High,Saturday,January
526,3500.0,644,DECOR,Used,ZACKV,4514.96,4289.2119999999995,GR940,2014-10-03,05:08:13,3346544,145685590,Guitar Center,GN4259,Mobile carrier Billing,94429,1,2014-10-10,225.7480000000005,High,Friday,October
527,4575.0,594,APPLIANCES,Used,BUDLO,3629.75,3595.75,FK548,2014-01-07,14:07:19,4407505,300544726,Ulta,UO9656,Credit card,4537,1,2014-01-14,34.0,High,Tuesday,January
528,5481.0,389,APPLIANCES,Refurbished,KZDWR,3554.31,3511.31,DJ757,2014-07-08,16:22:16,6507879,366905797,REI,EI6775,Prepaid card,29979,1,2014-07-15,43.0,High,Tuesday,July
529,6740.0,544,ELECTRONICS,Used,FMBZC,781.93,734.93,CS538,2014-07-19,06:06:02,1547963,673910341,Peninsula Beauty,YE5901,Mobile carrier Billing,44803,1,2014-07-26,47.0,Low,Saturday,July
530,8639.0,502,SHOES,Used,DYHNA,2124.78,2108.78,CN667,2014-02-08,22:59:11,6691702,519644619,The Vitamin Shoppe,HW9977,Mobile carrier Billing,6896,1,2014-02-15,16.0,Low,Saturday,February
531,2304.0,702,APPLIANCES,Refurbished,BUDLO,4042.54,4025.54,OW919,2014-05-02,05:59:05,9508895,383301697,REI,EI6773,Prepaid card,34668,1,2014-05-09,17.0,High,Friday,May
532,4672.0,200,BABY TOYS,New,LATFL,3293.19,3249.19,OH931,2014-03-24,12:32:52,5312966,803714626,Road Runner Sports,MS6580,Mobile carrier Billing,29761,1,2014-03-31,44.0,High,Monday,March
533,7481.0,145,CLOTHING,New,ZVYTC,3631.77,3595.77,WA104,2014-06-01,09:04:27,3545064,507476196,Nine West,RM9837,Mobile carrier Billing,10731,1,2014-06-08,36.0,High,Sunday,June
534,7848.0,383,BEDDING,Refurbished,RMHRO,4278.51,4247.51,QM569,2014-03-14,03:02:27,7960668,758404751,Nine West,RM9837,Credit card,86636,1,2014-03-21,31.0,High,Friday,March
535,5850.0,281,DECOR,Refurbished,DGWZG,4589.78,4570.78,WX806,2014-03-22,07:03:54,6303572,454633734,Right Start,IQ1508,Prepaid card,89070,1,2014-03-29,19.0,High,Saturday,March
536,3958.0,162,DECOR,New,ZACKV,4551.18,4519.18,AD474,2014-03-29,09:18:48,7778622,949600417,Cole Hardware,EX7729,Prepaid card,66672,1,2014-04-05,32.0,High,Saturday,March
537,5057.0,111,COMPUTERS,New,YEJZI,2429.24,2391.24,XB225,2014-06-18,00:21:55,8817894,752219545,L'Occitane,GN4214,Credit card,83316,1,2014-06-25,38.0,Low,Wednesday,June
538,1256.0,838,LUGGAGE,Used,IWPJG,379.56,356.56,CR800,2014-03-29,16:56:17,3320861,832455165,The North Face,GH6873,Mobile carrier Billing,64910,1,2014-04-05,23.0,Low,Saturday,March
539,3723.0,435,COMPUTERS,Refurbished,YXQFM,716.53,698.53,VU150,2014-01-12,17:58:49,4329618,865784519,Staples,VN6656,Credit card,13246,1,2014-01-19,18.0,Low,Sunday,January
540,3966.0,988,CLOTHING,Used,ZVYTC,2079.74,2051.74,LG316,2014-07-24,01:51:29,2980846,511495390,Walgreens,VW7192,Debit card,31288,1,2014-07-31,28.0,Low,Thursday,July
541,9587.0,986,COMPUTERS,New,YXQFM,3205.26,3175.26,NL110,2014-05-05,10:16:41,4781787,911632188,DFLOWERS,ZG2587,Mobile carrier Billing,55213,1,2014-05-12,30.0,High,Monday,May
542,1831.0,710,APPLIANCES,Used,MVKXW,2926.2,2879.2,AK256,2014-03-23,21:22:16,5442140,951830632,DFLOWERS,ZG2587,Deirect debits,48719,1,2014-03-30,47.0,High,Sunday,March
543,8705.0,970,LUGGAGE,Refurbished,CENQJ,635.56,590.56,MB474,2014-07-27,17:47:49,2497015,349777922,Peninsula Beauty,YE5901,Credit card,62251,1,2014-08-03,45.0,Low,Sunday,July
544,9940.0,318,KITCHEN & DINING,New,NSILF,1456.56,1419.56,LH588,2014-06-22,07:24:47,3282926,781576621,DODOcase,UW7352,Prepaid card,73167,1,2014-06-29,37.0,Low,Sunday,June
545,2141.0,662,ELECTRONICS,Refurbished,FMBZC,1281.3,1250.3,CI367,2014-10-05,09:00:35,2309601,993868078,Barnes & Noble,EY1659,Mobile carrier Billing,69508,1,2014-10-12,31.0,Low,Sunday,October
